,acousticness,album,album_id,album_release,artist,danceability,energy,feature,key,loudness,tempo,track_id,track_name,valence,rank,percentile
26,0.0697,Post To Be (feat. Chris Brown & Jhene Aiko),4Dg6r2i58ftPdj3229uDrl,2014-11-11,Omarion,0.733,0.676,Chris Brown,10,-5.655,97.448,6p5abLu89ZSSpRQnbK9Wqs,Post To Be (feat. Chris Brown & Jhene Aiko),0.701,27,14
27,0.017,Lazy Fair,3FxhIYHnMRF3172VF5f5RR,2014-04-22,Bryce Vine,0.483,0.777,No Feature,4,-5.049,153.054,1Pyxh8ERS8aouSSOQVvVsz,Sour Patch Kids,0.572,28,14
28,0.222,SYRE,4IFpj2jyRcugt1yzH82m3E,2017-11-17,Jaden Smith,0.786,0.82,No Feature,9,-5.093,119.982,22nyEAEM29tcBRhukR089b,Icon,0.49,29,14
29,0.117,This Is America,7arx9qPJexCsDz67El4qvk,2018-05-06,Childish Gambino,0.854,0.463,No Feature,5,-6.159,120.024,0b9oOr2ZgvyQu88wzixux9,This Is America,0.549,30,14
30,0.0826,Born Sinner,1NfrmcXk8xNennyxQ57JcW,2013-06-14,J. Cole,0.547,0.747,No Feature,4,-8.597,83.295,1PQAocUDoT1Q90Sabu1MTu,Is She Gon Pop,0.216,31,13
31,0.0178,Late Registration,5ll74bqtkcXlKE7wwkMq4g,2005-09-30,Kanye West,0.851,0.682,Consequence,10,-6.114,92.732,5RjbFGeWVsCpw8EcE8OrvZ,Gone,0.332,32,13
32,0.0545,Santa Tell Me,27MNgBEnLCKoafz1g2Zu97,2014-11-24,Ariana Grande,0.506,0.628,No Feature,7,-7.316,191.708,0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,0.556,33,13
33,0.518,Pure Heroine (Extended),6rnzvZhe3PA57xKcKLRtJ6,2013-01-01,Lorde,0.504,0.469,No Feature,4,-9.349,127.965,0TEekvXTomKt3hdXDZxxeW,Ribs,0.04,34,13
34,0.00195,Trigga Reloaded,3pKTKC0AAe3yTcXQLzvpSW,2015-06-23,Trey Songz,0.575,0.658,Mila J,10,-6.776,106.82,3UCCHoBMji104tfjUJ5gHo,Disrespectful (feat. Mila J),0.204,35,12
35,0.679,Trigga Reloaded,3pKTKC0AAe3yTcXQLzvpSW,2015-06-23,Trey Songz,0.733,0.408,No Feature,7,-7.834,94.947,4NYwy0R3NdvORX2B6OZXBT,Slow Motion,0.291,36,12
36,0.0649,X (Deluxe Version),4yOWnTrCkOOpl4IiVnpj3H,2014-09-12,Chris Brown,0.709,0.638,Usher,1,-4.3,141.994,3nw9J97nUugT84SIJdjhAV,New Flame,0.468,37,12
37,0.445,Summertime '06,4Csoz10NhNJOrCTUoPBdUD,2015-06-30,Vince Staples,0.915,0.54,No Feature,7,-6.578,100.039,4uQ7wYsuL0DryknoDc11Hk,Norf Norf,0.111,38,12
38,0.0172,St. Elsewhere,7p2aWivr9OLXocSTTKtG9B,2006-05-02,Gnarls Barkley,0.835,0.741,No Feature,8,-1.609,111.963,2N5zMZX7YeL1tico8oQxa9,Crazy,0.612,39,12
39,0.249,Oh Wonder,37ABUtLPqktcopsBJ7jmXT,2015-09-04,Oh Wonder,0.636,0.485,No Feature,11,-7.138,86.979,0IVHlst3XMgzXUJbIyZ8oO,Without You,0.266,40,11
40,0.451,Coming Home,4svLfrPPk2npPVuI4kXPYg,2015-06-15,Leon Bridges,0.639,0.468,No Feature,5,-8.329,97.53,2wSJEsk3c0E1ZXYRwgNQoR,Pull Away,0.42,41,11
41,0.461,Coming Home,4svLfrPPk2npPVuI4kXPYg,2015-06-15,Leon Bridges,0.427,0.465,No Feature,6,-6.595,112.137,5EA06TsQmqmQXZiEhr1AaM,Coming Home,0.458,42,11
42,0.00487,Back 2 Life,1fOIkbQO1zU1rO3GLIGJBH,2013-09-10,Sean Kingston,0.477,0.637,Chris Brown,1,-5.386,198.12,3bwCMbwDZVtvJDnUTQIdCX,Beat It,0.555,43,11
43,0.326,Hell Can Wait,7mxpMxmMM8RN39YRlo08v7,2014-09-23,Vince Staples,0.484,0.732,Teyana Taylor,11,-5.866,176.084,5nFur5SMzdpP4obWLrBFD3,Limos,0.548,44,11
44,0.0544,Bad (Remastered),3Us57CjssWnHjTUIXBuIeH,1987-08-31,Michael Jackson,0.877,0.854,No Feature,1,-4.523,114.472,76HKOVWqsEg26SECtmw7Rz,The Way You Make Me Feel - 2012 Remaster,0.54,45,10
45,0.367,Trigga Reloaded,3pKTKC0AAe3yTcXQLzvpSW,2015-06-23,Trey Songz,0.693,0.489,No Feature,0,-7.022,119.976,6fmDdFyME92bE1TqQZfUyI,Serve It Up,0.325,46,10
46,0.00589,To Pimp A Butterfly,7ycBtnsMtyVbbwTfJwRjSP,2015-03-16,Kendrick Lamar,0.884,0.657,No Feature,6,-4.569,107.059,0N3W5peJUQtI4eyR6GJT5O,King Kunta,0.489,47,10
47,0.0536,The Best of Nelly Furtado (Deluxe),0KuwW8qW9a0oKhuxydvMvk,2010-01-01,Nelly Furtado,0.807,0.97,Timbaland,10,-6.056,114.297,3SwlakM6VX47IwG0Wll5ek,Promiscuous,0.876,48,10
48,0.93,Christmas & Chill,6yi7FjzeCHGVJJAdWRYAmk,2015-12-18,Ariana Grande,0.639,0.219,No Feature,0,-10.204,74.739,1jhljxXlHw8K9rezXKrnow,Winter Things,0.797,49,10
49,0.0206,Sexual Eruption,6RU7Qo0oVDHePofiPH9GXZ,2008-01-01,Snoop Dogg,0.864,0.607,R. Kelly,9,-4.891,82.048,3J58iVk8OXYAGG4YvOKG8u,That's That Shit,0.747,50,9
50,0.0235,Underground Luxury,177byugYOk12NcfRtWvghY,2013-12-16,B.o.B,0.779,0.636,Chris Brown,1,-6.854,122.002,4sqGJ5eumHKXrS7AGf5p7J,Throwback (feat. Chris Brown),0.183,51,9
51,0.4,Title (Deluxe),5W98Ab4VvQEuFEE4TIe5fE,2015-01-09,Meghan Trainor,0.63,0.53,John Legend,0,-7.259,108.038,2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You,0.417,52,9
52,0.229,Beyond,0Nu4xhj7NxdUiL0eMy9yoQ,2018-04-20,Leon Bridges,0.58,0.687,No Feature,6,-5.4,76.014,5esPpmrM2AsyDVgOKzWQwU,Beyond,0.187,53,9
53,0.323,ANTI,3Q149ZH46Z0f3oDR7vlDYV,2016-01-28,Rihanna,0.685,0.61,No Feature,0,-5.221,94.384,6KFaHC9G178beAp7P0Vi5S,Desperado,0.323,54,9
54,0.753,Oh Wonder,37ABUtLPqktcopsBJ7jmXT,2015-09-04,Oh Wonder,0.521,0.426,No Feature,6,-8.79,80.367,3X3mfRMRaPJRiIMDMQtSkd,Landslide,0.302,55,8
55,0.146,Fetty Wap (Deluxe),2gKQvajkEEaDtkqJ8FJ4uw,2015-09-25,Fetty Wap,0.778,0.577,Monty,4,-5.313,123.977,4STnruOS34o1TIMxi9p6KF,Time (feat. Monty),0.547,56,8
56,0.0101,The Hunger Games: Mockingjay PT. 1 (Original Motion Picture Soundtrack),1K1uDn8Y3JPcz3oxJa0lHF,2014-12-18,Major Lazer,0.66,0.818,Ariana Grande,5,-4.7,115.054,5LA9p0oPpk989CMZnfQ5b7,All My Love,0.295,57,8
57,0.00487,PRISM (Deluxe),5MQBzs5YlZlE28mD9yUItn,2013-01-01,Katy Perry,0.554,0.772,No Feature,7,-4.821,179.984,6F5c58TMEs1byxUstkzVeM,Roar,0.455,58,8
58,0.0228,X (Deluxe Version),4yOWnTrCkOOpl4IiVnpj3H,2014-09-12,Chris Brown,0.845,0.506,Lil Wayne,1,-5.971,99.051,7kqcudBGM74MXVoYMaoWkC,Loyal,0.647,59,8
59,0.0162,Dangerous Woman,3OZgEywV4krCZ814pTJWr7,2016-05-20,Ariana Grande,0.623,0.734,No Feature,9,-5.95,107.853,2meEiZKWkiN28gITzFwQo5,Into You,0.372,60,7
60,0.224,Professional Rapper,5eLVoIPq7P3Bu29lVgD4x0,2015-07-31,Lil Dicky,0.738,0.709,T-Pain,5,-4.87,95.945,5NLT6uux4omoMlIFlBxRSI,Personality (feat. T Pain),0.832,61,7
61,0.669,Coming Home,4svLfrPPk2npPVuI4kXPYg,2015-06-15,Leon Bridges,0.487,0.491,No Feature,0,-10.24,129.709,1jGAGf2ne3NETK4mb23Hnx,Shine,0.482,62,7
62,0.358,Indicud,5svfcB1dHyUWTWlhb4TihU,2013-01-01,Kid Cudi,0.655,0.913,HAIM,11,-5.885,96.135,46o1wwml89DC8ViehyeXcK,Red Eye,0.631,63,7
63,0.0302,Turtleneck & Chain,1GteZP4wydggKLz44CFXyE,2011-01-01,The Lonely Island,0.755,0.732,Justin Timberlake,2,-5.375,131.225,6GREc8IsQxd9mvqpU5d5kf,Motherlover - Album Versions,0.582,64,7
64,0.0599,Summer In The Winter,6uG9BscYmPnAbtl6Cy9u91,2015-12-25,Kid Ink,0.797,0.469,Fetty Wap,8,-8.112,103.057,5IZc3KIVFhjzJ0L2kiXzUl,Promise,0.481,65,6
65,0.0954,ye,5EBGCvO6upi3GNknMVe9x9,2018-06-01,Kanye West,0.572,0.543,PARTYNEXTDOOR,7,-4.251,83.364,6Bg7MznA9X0dIhlAsLyBYj,Ghost Town,0.329,66,6
66,0.346,GO:OD AM,2Tyx5dLhHYkx6zeAdVaTzN,2015-09-18,Mac Miller,0.756,0.523,No Feature,8,-6.321,120.025,19CkkPInDRDIOlqfrz1mVn,Ascension,0.34,67,6
67,0.574,Rapper's Delight,62On5bjWyNy2EDf6bztfW0,1979,The Sugarhill Gang,0.872,0.857,No Feature,9,-7.287,111.01,1qb27ZTsi0gVxHteAjPOyD,Rapper's Delight - Long Version,0.925,68,6
68,0.179,The Predator,71HM1CMYWeZzws8pyiEn46,1992-11-17,Ice Cube,0.851,0.796,No Feature,1,-3.287,101.068,2Q21T7gfWltYB592v39re5,Check Yo Self,0.789,69,5
69,0.485,Wildheart (Deluxe Version),6W8ZsoinSMViZMh9aYK7gQ,2015-06-26,Miguel,0.649,0.749,No Feature,6,-6.454,100.995,5WIcg3ItGo5xCe8ExcY9Ax,what's normal anyway,0.343,70,5
70,0.553,2014 Forest Hills Drive,7viNUmZZ8ztn2UB4XB3jIL,2014-12-09,J. Cole,0.559,0.556,No Feature,6,-7.844,189.861,7lL3MvFWFFSD25pBz72Agj,A Tale of 2 Citiez,0.362,71,5
